requested_vocab_size,actual_vocab_size,merge_count,document_count,character_count,byte_count,token_count,bytes_per_token,characters_per_token,training_seconds,encoding_seconds,embedding_parameters,lm_head_parameters,vocab_dependent_parameters,vocab_path,merges_path
1000,1000,743,25631,20865935,20874539,6582262,3.1713321347585373,3.17002498533179,5.242208541996661,5.199701582998387,512000,512000,1024000,results/vocab_study/tokenizers/vocab_1000/vocab.tsv,results/vocab_study/tokenizers/vocab_1000/merges.tsv
2000,2000,1743,25631,20865935,20874539,5669799,3.6817070587511127,3.6801895446381785,5.252531249992899,5.178119625008549,1024000,1024000,2048000,results/vocab_study/tokenizers/vocab_2000/vocab.tsv,results/vocab_study/tokenizers/vocab_2000/merges.tsv
4000,4000,3743,25631,20865935,20874539,5240199,3.983539365585162,3.9818974432077865,5.243105792003917,5.193828666000627,2048000,2048000,4096000,results/vocab_study/tokenizers/vocab_4000/vocab.tsv,results/vocab_study/tokenizers/vocab_4000/merges.tsv
8000,8000,7743,25631,20865935,20874539,5080204,4.108996213537882,4.1073025807625045,5.3817337499931455,5.199892916003591,4096000,4096000,8192000,results/vocab_study/tokenizers/vocab_8000/vocab.tsv,results/vocab_study/tokenizers/vocab_8000/merges.tsv
16000,16000,15743,25631,20865935,20874539,5054676,4.1297481777269205,4.128045991474033,5.417770415995619,5.18368695800018,8192000,8192000,16384000,results/vocab_study/tokenizers/vocab_16000/vocab.tsv,results/vocab_study/tokenizers/vocab_16000/merges.tsv
